duf_pfam_id	duf_pfam_name	partner_architecture	n_edges	n_taxa	n_duf_proteins	n_partner_proteins	max_combined	mean_combined	max_direct_evidence	max_context_evidence	n_experiment_edges	max_neighborhood	n_neighborhood_edges	max_neighborhood_transferred	n_neighborhood_transferred_edges	max_fusion	n_fusion_edges	max_cooccurence	n_cooccurence_edges	max_homology	n_homology_edges	max_coexpression	n_coexpression_edges	max_coexpression_transferred	n_coexpression_transferred_edges	max_experiments	n_experiments_edges	max_experiments_transferred	n_experiments_transferred_edges	max_database	n_database_edges	max_database_transferred	n_database_transferred_edges	max_textmining	n_textmining_edges	max_textmining_transferred	n_textmining_transferred_edges	module_score	module_key	separate_channel_l2_score	taxid	duf_protein	partner_protein	duf_architecture	combined_score	direct_evidence	context_evidence	neighborhood	neighborhood_transferred	fusion	cooccurence	homology	coexpression	coexpression_transferred	experiments	experiments_transferred	database	database_transferred	textmining	textmining_transferred	evidence_flags	_pair_key	has_representative	has_sequence
PF10105	DUF2344 - Uncharacterized protein conserved in bacteria (DUF2344)	NO_PFAM	380	69	69	190	996	787.9631578947368	899	981	0	773	152	981	356	899	4	775	32	0	0	0	0	714	14	0	0	363	2	0	0	732	10	0	0	103	8	16.319789859225423	PF10105 || NO_PFAM	0.8630556280522451	2044587	2044587.C824_02272	2044587.C824_02273	PF10105	996	899	899	773	299	899	775	0	0	126	0	0	0	0	0	0	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression_transferred	2044587.C824_02272 || 2044587.C824_02273	True	False
PF07793	DUF1631 - Protein of unknown function (DUF1631)	NO_PFAM	878	132	208	364	980	748.6150341685649	773	773	0	773	46	298	220	0	0	773	788	644	20	0	0	664	178	0	0	684	90	0	0	763	80	839	6	434	84	18.105483154128684	PF07793 || NO_PFAM	0.8630041063379569	1123392	1123392.GCA_000376425_01662	1123392.GCA_000376425_00217	PF00563;PF00990;PF07793	980	0	720	0	214	0	720	0	0	65	0	684	0	676	0	236	neighborhood_transferred;cooccurence;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	1123392.GCA_000376425_00217 || 1123392.GCA_000376425_01662	True	False
PF11343	DUF3145 - Protein of unknown function (DUF3145)	NO_PFAM	174	37	37	87	991	760.528735632184	773	981	0	773	18	981	80	0	0	767	94	0	0	42	2	56	4	0	0	0	0	0	0	0	0	0	0	216	4	14.193958293376284	PF11343 || NO_PFAM	0.8577564329331158	1894	1894.ADK78_27140	1894.ADK78_27145	PF11343	991	603	980	603	980	0	0	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred	1894.ADK78_27140 || 1894.ADK78_27145	True	False
PF13773	DUF4170 - Domain of unknown function (DUF4170)	NO_PFAM	128	33	33	64	968	755.640625	864	864	0	773	76	546	76	864	2	767	54	0	0	49	4	130	8	0	0	704	10	0	0	0	0	0	0	62	2	13.640533453593996	PF13773 || NO_PFAM	0.8543467442918051	258594	258594.RPA1157	258594.RPA1156	PF13773	968	864	864	648	313	864	152	0	45	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression	258594.RPA1156 || 258594.RPA1157	True	False
PF23988	DUF7309 - Domain of unknown function (DUF7309)	NO_PFAM	210	29	29	105	994	737.6952380952381	899	899	0	773	12	131	14	899	2	774	194	0	0	0	0	75	8	0	0	799	10	0	0	671	6	0	0	214	22	13.952252896800378	PF23988 || NO_PFAM	0.8539022415210489	1479485	1479485.DA73_0244205	1479485.DA73_0244705	PF22007;PF23988	936	0	131	0	131	0	0	0	0	60	0	799	0	582	0	214	neighborhood_transferred;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	1479485.DA73_0244205 || 1479485.DA73_0244705	True	False
PF19197	DUF5872 - Family of unknown function (DUF5872)	NO_PFAM	12	6	6	6	971	806.6666666666666	899	899	0	773	10	137	8	899	2	698	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.254769655572163	PF19197 || NO_PFAM	0.8529597278896419	481446	481446.NIT7645_00454	481446.NIT7645_00453	PF07498;PF19197	971	899	899	727	0	899	0	0	0	0	0	0	0	0	0	0	neighborhood;fusion	481446.NIT7645_00453 || 481446.NIT7645_00454	True	False
PF25371	DUF7884 - Domain of unknown function (DUF7884)	NO_PFAM	18	9	9	9	991	790.7777777777778	900	900	0	773	10	439	8	900	4	774	4	0	0	0	0	66	4	0	0	0	0	0	0	644	4	0	0	579	8	9.349609165154533	PF25371 || NO_PFAM	0.8520917728471891	1192868	1192868.GCA_000304395_00858	1192868.GCA_000304395_00857	PF02353;PF25371	991	900	900	664	0	900	774	0	0	0	0	0	0	0	0	0	neighborhood;fusion;cooccurence	1192868.GCA_000304395_00857 || 1192868.GCA_000304395_00858	True	False
PF07394	DUF1501 - Protein of unknown function (DUF1501)	NO_PFAM	1226	119	353	380	976	771.1729200652528	878	878	0	773	356	444	438	878	6	775	1020	0	0	850	14	853	8	0	0	594	2	0	0	561	2	0	0	195	8	18.443310930275004	PF07394 || NO_PFAM	0.8507578859639765	258594	258594.RPA3596	258594.RPA3597	PF07394	976	773	775	773	154	518	775	0	56	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression	258594.RPA3596 || 258594.RPA3597	True	False
PF23357	DUF7088 - Domain of unknown function (DUF7088)	NO_PFAM	296	103	105	148	996	791.581081081081	900	900	0	773	146	538	158	900	18	775	146	0	0	0	0	726	78	0	0	842	50	0	0	482	24	0	0	461	92	16.782513937085444	PF23357 || NO_PFAM	0.8505880337370785	49280	49280.A9996_02310	49280.A9996_02320	PF09822;PF23357	996	900	900	773	136	900	772	0	0	108	0	0	0	0	0	273	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression_transferred;textmining_transferred	49280.A9996_02310 || 49280.A9996_02320	True	False
PF19599	DUF6104 - Family of unknown function (DUF6104)	NO_PFAM	94	20	20	47	986	791.0	773	981	0	773	48	981	82	0	0	745	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.396921767047386	PF19599 || NO_PFAM	0.8495436257220458	1894	1894.ADK78_04285	1894.ADK78_04305	PF19599	986	330	980	330	980	0	0	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred	1894.ADK78_04285 || 1894.ADK78_04305	True	False
PF04417	DUF501 - Protein of unknown function (DUF501)	NO_PFAM	256	37	37	128	999	801.2890625	900	981	0	773	64	981	200	900	2	762	62	0	0	0	0	566	22	0	0	689	18	0	0	680	20	0	0	688	22	14.70524840434799	PF04417 || NO_PFAM	0.8484848040692732	1894	1894.ADK78_18585	1894.ADK78_18590	PF04417	999	900	978	773	978	900	0	0	0	566	0	0	0	680	0	0	neighborhood;neighborhood_transferred;fusion;coexpression_transferred;database_transferred	1894.ADK78_18585 || 1894.ADK78_18590	True	False
PF11893	DUF3413 - Domain of unknown function (DUF3413)	NO_PFAM	128	30	30	64	967	755.1875	862	862	0	773	24	601	12	862	2	767	106	0	0	0	0	0	0	0	0	838	10	0	0	0	0	0	0	172	16	13.451786813331964	PF11893 || NO_PFAM	0.848393491909225	29486	29486.UGYR_04280	29486.UGYR_04275	PF00884;PF11893	967	862	862	773	0	862	0	0	0	0	0	0	0	0	0	0	neighborhood;fusion	29486.UGYR_04275 || 29486.UGYR_04280	True	False
PF25211	DUF7839 - Domain of unknown function (DUF7839)	NO_PFAM	6	3	3	3	947	809.0	773	773	0	773	2	118	2	0	0	707	4	625	2	0	0	109	2	0	0	855	2	0	0	516	2	0	0	120	2	6.2644988712950935	PF25211 || NO_PFAM	0.8470563523109954	1839936	1839936.SBU_001517	1839936.SBU_001169	PF00005;PF25211	947	0	119	0	118	0	119	625	0	109	0	855	0	516	0	120	neighborhood_transferred;cooccurence;homology;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	1839936.SBU_001169 || 1839936.SBU_001517	True	False
PF07103	DUF1365 - Protein of unknown function (DUF1365)	NO_PFAM	154	61	61	77	994	800.6883116883117	839	839	0	773	110	593	126	839	12	774	84	0	0	47	4	867	44	0	0	669	18	0	0	596	14	0	0	182	36	14.975693887009433	PF07103 || NO_PFAM	0.8457553580659053	169765	169765.AWC15_15410	169765.AWC15_15405	PF07103	994	839	839	773	479	839	747	0	0	98	0	0	0	0	0	46	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression_transferred;textmining_transferred	169765.AWC15_15405 || 169765.AWC15_15410	True	False
PF13709	DUF4159 - Domain of unknown function (DUF4159)	NO_PFAM	2484	495	555	1198	994	837.0958132045089	900	900	0	773	992	527	1986	900	2	775	2098	0	0	121	8	651	150	0	0	932	304	0	0	649	300	0	0	385	324	22.031179791980584	PF13709 || NO_PFAM	0.8445048878942826	376733	376733.SAMN04487972_10183	376733.SAMN04487972_10182	PF13709	994	900	900	773	68	900	774	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;fusion;cooccurence	376733.SAMN04487972_10182 || 376733.SAMN04487972_10183	True	False
PF11238	DUF3039 - Protein of unknown function (DUF3039)	NO_PFAM	370	83	84	185	981	776.4432432432433	773	981	0	773	122	981	242	0	0	773	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.531835660294064	PF11238 || NO_PFAM	0.843943046151429	1894	1894.ADK78_36855	1894.ADK78_36875	PF11238	981	0	981	0	981	0	0	0	0	0	0	0	0	0	0	0	neighborhood_transferred	1894.ADK78_36855 || 1894.ADK78_36875	True	False
PF10035	DUF2179 - Uncharacterized protein conserved in bacteria (DUF2179)	NO_PFAM	326	125	135	156	993	763.5766871165645	900	900	0	773	250	662	192	900	10	774	64	0	0	570	2	321	34	0	0	208	2	0	0	798	6	914	14	199	6	17.262523984800207	PF10035 || NO_PFAM	0.8436410255078094	1291764	1291764.GCA_001311235_00702	1291764.GCA_001311235_00703	PF02588;PF10035	993	900	900	773	0	900	743	0	0	0	0	0	0	0	0	0	neighborhood;fusion;cooccurence	1291764.GCA_001311235_00702 || 1291764.GCA_001311235_00703	True	False
PF04015	DUF362 - Domain of unknown function (DUF362) 	NO_PFAM	634	103	141	293	999	780.3312302839116	890	951	0	773	126	951	260	890	4	775	244	0	0	921	6	819	258	0	0	895	214	0	0	945	222	844	4	385	222	17.58340679717544	PF04015 || NO_PFAM	0.8432913834986753	1122184	1122184.SAMN02745176_03191	1122184.SAMN02745176_02658	PF04015;PF13237	999	0	951	0	951	0	0	0	0	424	0	802	0	842	0	378	neighborhood_transferred;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	1122184.SAMN02745176_02658 || 1122184.SAMN02745176_03191	True	False
PF07136	DUF1385 - Protein of unknown function (DUF1385)	NO_PFAM	214	98	99	107	998	800.8878504672897	773	773	0	773	206	488	190	139	2	770	20	0	0	221	2	928	100	0	0	858	2	0	0	0	0	0	0	270	6	16.106877728396842	PF07136 || NO_PFAM	0.8431796308968292	1351755	1351755.CCH01_23220	1351755.CCH01_23210	PF05175;PF07136;PF17827	998	588	588	588	446	0	383	0	0	928	0	858	0	0	0	270	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred;experiments_transferred;textmining_transferred	1351755.CCH01_23210 || 1351755.CCH01_23220	True	False
PF09291	DUF1968 - Domain of unknown function (DUF1968)	PF00129;PF06623;PF07654	114	16	16	57	969	828.6666666666666	900	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	8	954	114	0	0	477	114	0	0	0	0	12.409971105143793	PF09291 || PF00129;PF06623;PF07654	0.8430574111474967	9598	9598.ENSPTRP00000080482	9598.ENSPTRP00000065181	PF09291	969	900	0	0	0	0	0	0	0	0	900	697	0	65	0	0	experiments;experiments_transferred;database_transferred	9598.ENSPTRP00000065181 || 9598.ENSPTRP00000080482	True	False
PF09291	DUF1968 - Domain of unknown function (DUF1968)	NO_PFAM	136	15	15	68	980	813.2205882352941	900	0	2	0	0	0	0	0	0	0	0	0	0	47	6	844	40	900	2	977	128	900	8	746	130	0	0	94	20	11.914464514641743	PF09291 || NO_PFAM	0.8419333464954397	9555	9555.ENSPANP00000008221	9555.ENSPANP00000029353	PF09291	980	0	0	0	0	0	0	0	0	0	0	977	0	199	0	0	experiments_transferred;database_transferred	9555.ENSPANP00000008221 || 9555.ENSPANP00000029353	True	False
PF14951	DUF4503 - Domain of unknown function (DUF4503)	NO_PFAM	922	50	51	456	999	857.9804772234273	899	899	2	0	0	234	320	899	6	475	4	0	0	42	2	999	680	609	2	979	836	0	0	717	344	889	60	803	808	17.03858664428556	PF14951 || NO_PFAM	0.8413504313609864	60517	60517.A0A0R3WC08	60517.A0A0R3W5G6	PF00181;PF03947;PF14951	999	0	234	0	234	0	0	0	0	999	0	923	0	0	0	698	neighborhood_transferred;coexpression_transferred;experiments_transferred;textmining_transferred	60517.A0A0R3W5G6 || 60517.A0A0R3WC08	True	False
PF12005	DUF3499 - Protein of unknown function (DUF3499)	NO_PFAM	474	199	199	237	988	780.1645569620254	773	981	0	773	108	981	142	0	0	668	76	0	0	798	2	884	322	0	0	0	0	0	0	0	0	0	0	306	8	18.51394953713072	PF12005 || NO_PFAM	0.8406112263639599	1894	1894.ADK78_33470	1894.ADK78_33475	PF12005	988	422	981	422	981	0	0	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred	1894.ADK78_33470 || 1894.ADK78_33475	True	False
PF11946	DUF3463 - Domain of unknown function (DUF3463)	NO_PFAM	868	36	37	433	998	790.983870967742	900	981	0	773	64	981	846	373	4	775	128	0	0	48	2	404	404	0	0	0	0	900	2	893	242	0	0	563	658	15.87017895055384	PF11946 || NO_PFAM	0.8359489015128005	1894	1894.ADK78_25600	1894.ADK78_25610	PF04055;PF11946	998	773	915	773	915	373	775	0	0	0	0	0	0	0	0	525	neighborhood;neighborhood_transferred;fusion;cooccurence;textmining_transferred	1894.ADK78_25600 || 1894.ADK78_25610	True	False
PF07040	DUF1326 - Protein of unknown function (DUF1326)	NO_PFAM	12	6	6	6	971	789.6666666666666	773	775	0	773	12	162	4	442	2	775	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.004769655572163	PF07040 || NO_PFAM	0.8356160122068956	1122125	1122125.GCA_000423185_05420	1122125.GCA_000423185_05421	PF07040	971	762	775	762	162	442	775	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;fusion;cooccurence	1122125.GCA_000423185_05420 || 1122125.GCA_000423185_05421	True	False
PF06025	DUF913 - Domain of Unknown Function (DUF913)	NO_PFAM	1922	363	418	800	960	783.2372528616025	900	900	0	0	0	127	14	900	38	531	66	983	106	749	24	762	1246	0	0	939	1574	900	2	721	1534	784	56	752	1630	21.15594948086225	PF06025 || NO_PFAM	0.8348599484534215	205130	205130.ENSMAMP00000008763	205130.ENSMAMP00000011048	PF00632;PF02825;PF06012;PF06025;PF14377;PF22562	956	0	0	0	0	0	0	0	0	166	0	911	0	444	0	72	coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	205130.ENSMAMP00000008763 || 205130.ENSMAMP00000011048	True	False
PF11832	DUF3352 - Protein of unknown function (DUF3352)	NO_PFAM	536	44	63	258	992	743.8955223880597	871	871	0	773	30	210	60	871	2	774	454	0	0	42	2	63	4	0	0	812	70	0	0	895	48	0	0	239	72	15.641323074049506	PF11832 || NO_PFAM	0.8338641589879505	1641165	1641165.XM38_23670	1641165.XM38_23675	PF11832	992	871	871	773	0	871	774	0	0	0	0	0	0	0	0	0	neighborhood;fusion;cooccurence	1641165.XM38_23670 || 1641165.XM38_23675	True	False
PF16268	DUF4921 - Domain of unknown function (DUF4921)	NO_PFAM	32	14	14	16	994	771.8125	899	899	0	773	26	413	26	899	2	774	8	0	0	0	0	924	6	0	0	452	4	0	0	724	2	0	0	231	8	10.710607963670904	PF16268 || NO_PFAM	0.8330638865712203	35756	35756.GCA_001044155_01373	35756.GCA_001044155_01374	PF16268	994	899	899	773	0	899	774	0	0	0	0	0	0	0	0	0	neighborhood;fusion;cooccurence	35756.GCA_001044155_01373 || 35756.GCA_001044155_01374	True	False
PF16316	DUF4956 - Domain of unknown function (DUF4956)	NO_PFAM	182	63	65	91	975	818.3736263736264	773	775	0	773	156	750	142	599	2	775	84	0	0	81	4	841	30	0	0	415	4	0	0	0	0	0	0	230	12	15.075252319560764	PF16316 || NO_PFAM	0.8330010720972498	2044587	2044587.C824_05581	2044587.C824_05582	PF16316	975	668	775	668	213	0	775	0	0	629	0	0	0	0	0	0	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred	2044587.C824_05581 || 2044587.C824_05582	True	False
PF11452	DUF3000 - Protein of unknown function (DUF3000)	NO_PFAM	114	40	40	57	974	754.1052631578947	773	773	0	773	38	576	34	0	0	767	84	0	0	744	4	752	14	0	0	0	0	0	0	0	0	0	0	43	2	13.718076261771866	PF11452 || NO_PFAM	0.8317748871429554	83332	83332.Rv2680	83332.Rv2681	PF11452	974	773	773	773	502	0	232	0	744	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;cooccurence;coexpression	83332.Rv2680 || 83332.Rv2681	True	False
PF09912	DUF2141 - Uncharacterized protein conserved in bacteria (DUF2141)	NO_PFAM	274	78	86	135	958	779.5693430656934	773	773	0	773	160	546	132	702	2	760	184	0	0	69	2	58	6	0	0	0	0	0	0	0	0	0	0	0	0	15.901666802600614	PF09912 || NO_PFAM	0.8317152228674636	1192759	1192759.GCA_000277525_00668	1192759.GCA_000277525_00669	PF09912	958	762	762	762	394	0	737	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;cooccurence	1192759.GCA_000277525_00668 || 1192759.GCA_000277525_00669	True	False
PF22942	DUF7025 - Domain of unknown function (DUF7025)	NO_PFAM	6020	258	784	1452	999	770.8813953488373	535	535	0	0	0	136	194	535	2	523	20	894	12	0	0	807	2890	0	0	991	5986	0	0	982	5944	0	0	633	5314	20.886664760863525	PF22942 || NO_PFAM	0.8314047268887691	229533	229533.A0A098D661	229533.I1RKK0	PF00004;PF22942	999	0	0	0	0	0	0	0	0	148	0	991	0	954	0	173	coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	229533.A0A098D661 || 229533.I1RKK0	True	False
PF11816	DUF3337 - Domain of unknown function (DUF3337)	NO_PFAM	7324	637	701	3291	999	815.5535226652103	900	872	0	0	0	174	72	872	32	443	60	986	94	151	60	913	1600	0	0	990	6514	900	106	988	6964	999	88	955	6206	23.58772500057485	PF11816 || NO_PFAM	0.8308918355697607	9031	9031.ENSGALP00000030646	9031.ENSGALP00000017812	PF00400;PF11816	999	900	0	0	0	0	0	0	46	43	0	965	900	0	999	280	coexpression;coexpression_transferred;experiments_transferred;database;textmining;textmining_transferred	9031.ENSGALP00000017812 || 9031.ENSGALP00000030646	True	False
PF19348	DUF5926 - Family of unknown function (DUF5926)	NO_PFAM	22	11	11	11	980	771.2727272727273	773	774	0	773	14	596	10	649	2	774	10	0	0	0	0	0	0	0	0	0	0	0	0	708	2	0	0	0	0	9.65230751550515	PF19348 || NO_PFAM	0.83082130630631	1724	1724.GCA_001044175_02457	1724.GCA_001044175_02458	PF19348	980	773	774	773	0	649	774	0	0	0	0	0	0	0	0	0	neighborhood;fusion;cooccurence	1724.GCA_001044175_02457 || 1724.GCA_001044175_02458	True	False
PF06012	DUF908 - Domain of Unknown Function (DUF908)	NO_PFAM	1862	358	410	767	960	784.2588614393126	900	900	0	0	0	0	0	900	42	515	62	983	106	749	24	762	1208	0	0	939	1524	900	2	721	1484	784	56	701	1572	21.096588147578142	PF06012 || NO_PFAM	0.8301641007889137	9601	9601.ENSPPYP00000022809	9601.ENSPPYP00000001046	PF00632;PF02825;PF06012;PF06025;PF14377;PF22562	960	0	0	0	0	0	0	0	0	0	0	939	0	0	0	380	experiments_transferred;textmining_transferred	9601.ENSPPYP00000001046 || 9601.ENSPPYP00000022809	True	False
PF16269	DUF4922 - Domain of unknown function (DUF4922)	NO_PFAM	26	9	9	13	992	871.6923076923077	822	822	0	773	20	370	24	822	4	774	18	0	0	0	0	855	4	0	0	0	0	0	0	682	4	0	0	298	4	9.54500705199242	PF16269 || NO_PFAM	0.8298379532554736	1168289	1168289.GCA_000259075_03971	1168289.GCA_000259075_03972	PF16269;PF26216	992	822	822	773	292	822	774	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;fusion;cooccurence	1168289.GCA_000259075_03971 || 1168289.GCA_000259075_03972	True	False
PF05128	DUF697 - Domain of unknown function (DUF697) 	NO_PFAM	766	96	142	317	997	779.0391644908616	773	774	0	773	74	538	126	634	4	774	412	0	0	625	2	821	226	0	0	958	300	0	0	890	272	0	0	531	282	17.33890875837402	PF05128 || NO_PFAM	0.829373644947598	214092	214092.YPO2347	214092.YPO2348	PF05128	997	773	773	773	165	0	772	0	625	798	0	0	0	0	0	342	neighborhood;neighborhood_transferred;cooccurence;coexpression;coexpression_transferred;textmining_transferred	214092.YPO2347 || 214092.YPO2348	True	False
PF06166	DUF979 - Protein of unknown function (DUF979)	NO_PFAM	22	11	11	11	987	788.0	773	774	0	773	22	592	14	0	0	774	2	0	0	0	0	657	4	0	0	0	0	0	0	0	0	0	0	0	0	9.65230751550515	PF06166 || NO_PFAM	0.8278038613573196	1351755	1351755.CCH01_07880	1351755.CCH01_07870	PF06166	987	773	774	773	350	0	774	0	0	657	0	0	0	0	0	0	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred	1351755.CCH01_07870 || 1351755.CCH01_07880	True	False
PF18151	DUF5601 - Domain of unknown function (DUF5601)	NO_PFAM	5220	278	415	1550	999	827.7226053639847	900	900	4	0	0	147	464	900	22	250	4	583	84	151	42	427	1600	292	4	996	4970	800	8	999	4768	908	66	892	4396	22.427586753270333	PF18151 || NO_PFAM	0.8266166917778545	7955	7955.ENSDARP00000016779	7955.ENSDARP00000103673	PF01754;PF02204;PF18151	999	800	0	0	0	0	0	0	68	50	0	992	800	0	0	601	coexpression;coexpression_transferred;experiments_transferred;database;textmining_transferred	7955.ENSDARP00000016779 || 7955.ENSDARP00000103673	True	False
PF17384	DUF150_C - RimP C-terminal SH3 domain	NO_PFAM	2108	486	487	1054	996	797.746679316888	773	773	0	773	508	601	1390	0	0	757	150	0	0	872	42	944	1756	0	0	983	566	0	0	0	0	588	6	450	1442	21.57649742664396	PF17384 || NO_PFAM	0.825142977578898	226900	226900.BC_3815	226900.BC_3814	PF02576;PF17384	996	732	732	732	176	0	0	0	872	880	0	0	0	0	0	67	neighborhood;neighborhood_transferred;coexpression;coexpression_transferred;textmining_transferred	226900.BC_3814 || 226900.BC_3815	True	False
PF24319	DUF7491 - Coiled-coil region of unknown function (DUF7491)	NO_PFAM	2192	198	203	1050	999	796.7299270072992	900	900	0	0	0	0	0	900	12	529	8	694	8	51	6	517	1940	0	0	991	2180	540	4	810	2096	265	2	642	2178	20.07963539786687	PF24319 || NO_PFAM	0.8249802797932428	227321	227321.Q5B424	227321.C8VUD8	PF00063;PF02736;PF24319	999	540	0	0	0	0	0	0	0	210	0	988	540	661	0	579	coexpression_transferred;experiments_transferred;database;database_transferred;textmining_transferred	227321.C8VUD8 || 227321.Q5B424	True	False
PF12029	DUF3516 - Domain of unknown function (DUF3516)	NO_PFAM	168	13	13	84	989	802.9642857142857	773	980	0	773	26	980	152	0	0	708	16	0	0	0	0	176	4	0	0	0	0	0	0	0	0	0	0	443	4	12.16101337415359	PF12029 || NO_PFAM	0.8235471140788764	1894	1894.ADK78_24385	1894.ADK78_24380	PF00270;PF00271;PF12029	989	511	980	511	980	0	0	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred	1894.ADK78_24380 || 1894.ADK78_24385	True	False
PF11748	DUF3306 - Protein of unknown function (DUF3306)	NO_PFAM	218	69	69	109	987	848.9082568807339	773	775	0	773	134	492	126	0	0	775	196	0	0	0	0	751	2	0	0	0	0	0	0	0	0	0	0	0	0	15.43406221391522	PF11748 || NO_PFAM	0.8222080761162588	224911	224911.AAV28_24825	224911.AAV28_24830	PF11748	987	773	773	773	154	0	772	0	0	751	0	0	0	0	0	0	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred	224911.AAV28_24825 || 224911.AAV28_24830	True	False
PF11844	DUF3364 - Domain of unknown function (DUF3364)	NO_PFAM	164	30	30	82	999	849.0731707317074	900	812	0	773	62	512	116	812	14	775	114	0	0	121	6	883	102	0	0	982	24	900	26	715	22	673	20	433	116	13.685919882870872	PF11844 || NO_PFAM	0.8219760078738823	189425	189425.PGRAT_26420	189425.PGRAT_26425	PF00148;PF11844	999	900	774	773	330	56	774	0	0	274	0	773	900	0	0	364	neighborhood;neighborhood_transferred;fusion;cooccurence;coexpression_transferred;experiments_transferred;database;textmining_transferred	189425.PGRAT_26420 || 189425.PGRAT_26425	True	False
PF04842	DUF639 - Plant protein of unknown function (DUF639)	NO_PFAM	3520	41	66	599	972	818.5011363636364	899	899	0	0	0	219	2760	899	12	461	118	951	2	0	0	746	3308	0	0	850	3048	0	0	857	1122	0	0	404	2346	17.43983955572179	PF04842 || NO_PFAM	0.8203091841589978	4565	4565.A0A3B6QFR4	4565.W5ASA4	PF04842	972	0	168	0	168	0	0	0	0	691	0	759	0	550	0	152	neighborhood_transferred;coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	4565.A0A3B6QFR4 || 4565.W5ASA4	True	False
PF23069	DUF7042 - Domain of unknown function (DUF7042)	NO_PFAM	508	63	96	230	992	790.2559055118111	251	509	0	0	0	308	134	251	2	509	20	831	2	750	2	954	238	0	0	920	404	0	0	834	440	0	0	720	452	15.310214183269863	PF23069 || NO_PFAM	0.8200900651567122	66420	66420.A0A194Q3X9	66420.I4DKZ2	PF23069;PF23070	979	0	0	0	0	0	0	0	0	73	0	920	0	608	0	377	coexpression_transferred;experiments_transferred;database_transferred;textmining_transferred	66420.A0A194Q3X9 || 66420.I4DKZ2	True	False
PF04037	DUF382 - Domain of unknown function (DUF382) 	PF12874	748	224	277	288	999	878.663101604278	800	0	2	0	0	0	0	0	0	0	0	0	0	66	2	177	562	800	2	999	748	540	2	660	34	356	2	692	544	18.800245932260115	PF04037 || PF12874	0.8191354727817033	9598	9598.ENSPTRP00000069263	9598.ENSPTRP00000017387	PF02037;PF04037;PF04046	999	540	0	0	0	0	0	0	0	119	0	997	540	454	0	692	coexpression_transferred;experiments_transferred;database;database_transferred;textmining_transferred	9598.ENSPTRP00000017387 || 9598.ENSPTRP00000069263	True	False
PF08922	DUF1905 - Domain of unknown function (DUF1905)	NO_PFAM	94	42	43	47	969	759.4893617021277	899	899	0	773	86	571	18	899	2	750	16	0	0	0	0	0	0	0	0	0	0	0	0	679	2	0	0	0	0	13.874277122987667	PF08922 || NO_PFAM	0.8188003062743486	2044587	2044587.C824_02704	2044587.C824_02705	PF08922	969	899	899	581	92	899	287	0	0	0	0	0	0	0	0	0	neighborhood;neighborhood_transferred;fusion;cooccurence	2044587.C824_02704 || 2044587.C824_02705	True	False
PF10048	DUF2282 - Predicted integral membrane protein (DUF2282)	NO_PFAM	290	102	107	141	985	830.6206896551724	773	774	0	773	118	512	138	0	0	774	140	0	0	940	16	943	232	0	0	0	0	0	0	0	0	732	2	250	82	16.489781243630766	PF10048 || NO_PFAM	0.81841683649568	1481914	1481914.JCM19241_75	1481914.JCM19241_74	PF10048	985	576	764	576	148	0	764	0	0	822	0	0	0	0	0	189	neighborhood;neighborhood_transferred;cooccurence;coexpression_transferred;textmining_transferred	1481914.JCM19241_74 || 1481914.JCM19241_75	True	False
